SapNo;NazwaFlagi;Wa¿neOd;Wa¿neDo
2457579;ADSR;2017-05-04;
2457582;ADSR;2017-04-27;
2566745;ADSR;2016-05-24;
2847745;ADSR;2016-05-24;
4654928;ADSR;2018-02-02;
4654962;ADSR;2018-02-02;
4656726;ADSR;2018-02-02;
4656763;ADSR;2018-02-02;
4741044;ADSR;2018-05-02;
3018392;ADSR;2016-05-24;
3435014;ADSR;2016-05-24;
4741188;ADSR;2018-05-02;
4741409;ADSR;2018-05-02;
4741410;ADSR;2018-05-02;
4741412;ADSR;2018-05-02;
4823423;Promocja;2019-07-24;2019-08-30
4823442;Promocja;2019-07-24;2019-08-30
4921774;ADSR;2018-10-01;
4921775;ADSR;2018-10-01;
4294371;ADSA;2017-05-08;
4294799;ADSR;2017-05-08;
4294800;ADSR;2017-05-08;
4294801;ADSR;2017-05-08;
4294884;ADSA;2017-05-08;
3941824;ADSR;2017-05-08;
5045796;ADSA;2018-12-31;
5045844;ADSA;2018-12-31;
5045846;ADSA;2018-12-31;
5045848;ADSA;2018-12-31;
5130616;ADSA;2019-03-15;
5130617;ADSA;2019-03-15;
5130618;ADSR;2019-03-15;
5130686;ADSA;2019-03-15;
5130716;ADSA;2019-03-15;
5130717;ADSA;2019-03-15;
5130735;ADSA;2019-03-15;
5130736;ADSA;2019-03-15;
5130818;ADSR;2019-03-15;
5130819;ADSR;2019-03-15;
5130835;ADSR;2019-03-15;
5130836;ADSR;2019-03-15;
5285521;ADSR;2019-05-03;
5285724;ADSR;2019-05-03;
5285725;ADSR;2019-05-03;
5285741;ADSR;2019-05-03;
5286075;ADSR;2019-05-03;
5286089;ADSR;2019-05-03;
2566725;ADSR;2016-05-24;
2566732;ADSR;2017-05-08;
2566752;ADSR;2017-05-08;
2583026;Promocja;2019-08-01;2019-10-29
2583030;Promocja;2019-08-01;2019-10-29
4654929;ADSR;2018-02-02;
4654965;ADSR;2018-02-02;
4655474;ADSR;2018-02-02;
4655476;ADSR;2018-02-02;
4655483;ADSR;2018-02-02;
4657272;ADSR;2018-02-02;
4657279;ADSR;2018-02-02;
4740978;ADSR;2018-05-02;
4741041;ADSR;2018-05-02;
4741043;ADSR;2018-05-02;
3197241;Promocja;2019-08-01;2019-10-29
3197793;Promocja;2019-08-01;2019-10-29
4921776;ADSR;2018-10-01;
4990938;Promocja;2019-08-01;2019-08-30
1461569;ADSR;2016-05-24;
4294305;ADSR;2017-05-08;
4294382;ADSR;2017-05-08;
4294855;ADSR;2017-05-08;
5367707;ADSA;2019-07-02;
3806653;ADSR;2016-05-24;
3893480;ADSR;2016-05-24;
3893482;ADSR;2016-05-24;
3893632;ADSR;2016-05-24;
3893709;ADSR;2016-05-24;
5019022;Promocja;2019-07-23;2019-08-30
5045798;ADSA;2018-12-31;
5045800;ADSA;2018-12-31;
5045802;ADSA;2018-12-31;
5045807;ADSA;2018-12-31;
5045809;ADSA;2018-12-31;
5130405;ADSR;2019-03-15;
5130428;ADSR;2019-03-15;
5130478;ADSA;2019-03-15;
5130487;ADSR;2019-03-15;
5130489;ADSR;2019-03-15;
5130571;ADSA;2019-03-15;
5130573;ADSA;2019-03-15;
5130596;ADSA;2019-03-15;
5130637;ADSR;2019-03-15;
5130639;ADSA;2019-03-15;
5130664;ADSA;2019-03-15;
5130673;ADSA;2019-03-15;
5130687;ADSA;2019-03-15;
5130689;ADSR;2019-03-15;
5130703;ADSR;2019-03-15;
5130714;ADSA;2019-03-15;
5130737;ADSR;2019-03-15;
5130739;ADSR;2019-03-15;
5130755;ADSR;2019-03-15;
5130757;ADSR;2019-03-15;
5130773;ADSR;2019-03-15;
5130821;ADSR;2019-03-15;
5130837;ADSR;2019-03-15;
5285520;ADSA;2019-05-03;
5285684;ADSR;2019-05-03;
5285700;ADSR;2019-05-03;
5286068;ADSR;2019-05-03;
5286070;ADSA;2019-05-03;
5286079;ADSR;2019-05-03;
5286086;ADSA;2019-05-03;
5286088;ADSR;2019-05-03;
2457585;ADSR;2017-05-08;
2457699;ADSR;2017-05-04;
2583028;Promocja;2019-08-01;2019-10-29
2583032;Promocja;2019-08-01;2019-10-29
2583037;Promocja;2019-08-01;2019-10-29
4654930;ADSR;2018-02-02;
4654959;ADSR;2018-02-02;
4654966;ADSR;2018-02-02;
4654991;ADSR;2018-02-02;
4654993;ADSR;2018-02-02;
4655475;ADSR;2018-02-02;
4655477;ADSR;2018-02-02;
4656729;ADSR;2018-02-02;
4656742;ADSR;2018-02-02;
4656744;ADSR;2018-02-02;
4656749;ADSR;2018-02-02;
4656751;ADSR;2018-02-02;
4657271;ADSR;2018-02-02;
4657273;ADSR;2018-02-02;
4657278;ADSR;2018-02-02;
4675178;Promocja;2019-07-26;2019-08-30
4740977;ADSR;2018-05-02;
4740979;ADSR;2018-05-02;
4740994;ADSR;2018-05-02;
4741042;ADSR;2018-05-02;
3018485;ADSR;2016-05-24;
3197794;Promocja;2019-08-01;2019-10-29
3387189;ADSR;2016-05-24;
3435015;ADSR;2016-05-24;
4741180;ADSR;2018-05-02;
4789854;Promocja;2019-07-24;2019-08-30
4823436;Promocja;2019-07-24;2019-08-30
4921768;ADSA;2018-10-01;
4921770;ADSA;2018-10-01;
4990937;Promocja;2019-08-01;2019-08-30
4294306;ADSR;2017-05-08;
4294361;ADSA;2017-05-08;
4294381;ADSR;2017-05-08;
4294786;ADSR;2017-05-08;
4294854;ADSR;2017-05-08;
4294856;ADSR;2017-05-08;
5367706;ADSA;2019-07-02;
