SAPNo;Cena w TD;Waluta
3131;44,16;PLN
3135;49,14;PLN
19317;952,43;PLN
50423;85,23;PLN
50424;85,23;PLN
61525;95,25;PLN
67698;72,05;PLN
81137;22,50;PLN
81160;94,66;PLN
81492;32,77;PLN
82834;105,57;PLN
84026;101,27;PLN
84027;146,28;PLN
105709;129,45;PLN
106007;42,06;PLN
106010;150,92;PLN
109513;460,56;PLN
117190;93,77;PLN
117300;89,82;PLN
119871;230,85;PLN
119874;230,85;PLN
119876;230,85;PLN
119877;230,27;PLN
119878;229,67;PLN
119879;230,85;PLN
121519;239,29;PLN
127693;123,98;PLN
133041;230,85;PLN
168698;96,35;PLN
169278;123,98;PLN
176701;112,35;PLN
189226;168,27;PLN
190297;128,77;PLN
190597;595,47;PLN
196309;230,85;PLN
196310;230,85;PLN
196312;57,73;PLN
204672;27,85;PLN
205440;39,40;PLN
212538;105,21;PLN
214332;115,47;PLN
218208;976,61;PLN
218209;1071,52;PLN
235352;107,84;PLN
235355;131,36;PLN
235357;124,82;PLN
239226;54,61;PLN
243380;65,59;PLN
254326;133,26;PLN
259372;180,99;PLN
271917;461,70;PLN
278246;167,99;PLN
278247;285,89;PLN
278248;263,21;PLN
278251;354,04;PLN
278252;656,06;PLN
278254;770,16;PLN
278255;694,64;PLN
278256;358,51;PLN
278257;1344,42;PLN
278527;237,29;PLN
285305;826,14;PLN
296226;230,85;PLN
296227;230,85;PLN
296237;229,85;PLN
296240;230,85;PLN
296297;229,67;PLN
296298;230,85;PLN
296302;229,67;PLN
298756;111,15;PLN
299539;54,31;PLN
300515;230,85;PLN
302401;7049,73;PLN
302715;1915,40;PLN
303370;230,27;PLN
303873;57,73;PLN
305453;230,85;PLN
317551;230,08;PLN
317552;230,85;PLN
322892;502,33;PLN
362185;1313,60;PLN
365683;650,84;PLN
365684;650,84;PLN
365685;650,79;PLN
365686;632,10;PLN
365687;398,81;PLN
365688;398,85;PLN
371009;725,65;PLN
371089;725,65;PLN
371090;725,65;PLN
371091;725,65;PLN
371128;398,81;PLN
372064;342,14;PLN
372065;356,06;PLN
375625;57,73;PLN
379965;46,16;PLN
379966;46,16;PLN
379967;46,16;PLN
396120;115,47;PLN
396121;115,47;PLN
396122;115,47;PLN
407223;167,66;PLN
411896;895,36;PLN
413892;154,67;PLN
425234;51,59;PLN
428910;124,64;PLN
428911;100,54;PLN
428912;42,06;PLN
430919;184,87;PLN
431271;1464,74;PLN
431323;1014,69;PLN
431385;1261,38;PLN
438820;202,03;PLN
452042;3689,56;PLN
461807;98,05;PLN
463653;267,02;PLN
463654;375,87;PLN
471020;78,51;PLN
471021;118,58;PLN
472311;167,68;PLN
477510;95,88;PLN
480877;456,46;PLN
485002;57,73;PLN
486984;390,31;PLN
488871;222,38;PLN
491121;55,41;PLN
494635;388,32;PLN
503179;402,01;PLN
504505;630,56;PLN
504512;1279,98;PLN
508835;77,65;PLN
509004;139,36;PLN
510296;52,26;PLN
510648;357,21;PLN
517208;122,33;PLN
517211;52,54;PLN
517223;124,39;PLN
531147;3998,42;PLN
531148;430,57;PLN
531348;2918,80;PLN
531436;3330,66;PLN
537185;134,21;PLN
537231;124,39;PLN
537232;109,64;PLN
537246;178,84;PLN
537248;295,79;PLN
537821;226,94;PLN
538006;226,40;PLN
538855;199,44;PLN
538856;199,44;PLN
538857;199,44;PLN
538886;198,41;PLN
538939;176,94;PLN
538940;178,08;PLN
538941;178,08;PLN
538942;773,91;PLN
538943;787,54;PLN
538944;778,09;PLN
538945;778,09;PLN
538946;773,91;PLN
538947;778,09;PLN
538948;829,61;PLN
538949;829,61;PLN
538950;829,61;PLN
538951;829,61;PLN
538952;829,61;PLN
538953;854,21;PLN
538954;787,54;PLN
538955;787,54;PLN
538956;787,54;PLN
538957;787,54;PLN
538958;787,54;PLN
538961;787,54;PLN
538964;1067,75;PLN
538965;1067,75;PLN
538966;1067,75;PLN
538967;1067,75;PLN
538968;1067,75;PLN
538969;1067,75;PLN
547172;21118,26;PLN
547173;28841,59;PLN
547174;13357,97;PLN
547214;5824,63;PLN
547377;1932,34;PLN
549698;200,83;PLN
550665;23,14;PLN
565403;1122,17;PLN
565404;1178,27;PLN
565405;1178,27;PLN
577624;39,07;PLN
577633;39,20;PLN
577634;35,67;PLN
577637;39,20;PLN
579990;181,70;PLN
584204;39,20;PLN
584205;35,67;PLN
584206;35,67;PLN
584207;39,20;PLN
584208;35,67;PLN
584209;35,67;PLN
584824;109,19;PLN
595451;719,50;PLN
596217;344,26;PLN
596220;316,36;PLN
598438;662,14;PLN
598439;1061,39;PLN
598450;1333,10;PLN
606085;1185,79;PLN
606490;1129,92;PLN
608048;368,90;PLN
609421;43043,63;PLN
611516;2146,68;PLN
612131;132,53;PLN
612299;2321,29;PLN
615370;912,67;PLN
615371;1734,75;PLN
615374;45,53;PLN
615425;1296,50;PLN
617920;10,69;PLN
618807;89,96;PLN
622622;13417,63;PLN
642984;178,26;PLN
643143;136,55;PLN
672406;24,65;PLN
677201;444,41;PLN
677681;175,84;PLN
678738;804,38;PLN
678739;1464,74;PLN
696723;924,46;PLN
696724;1400,29;PLN
702696;611,88;PLN
702742;450,23;PLN
703687;62,31;PLN
704314;1634,45;PLN
704315;1634,45;PLN
704316;1634,45;PLN
704317;1037,88;PLN
704318;925,62;PLN
704999;57,82;PLN
707973;328,14;PLN
710583;220,26;PLN
712310;440,98;PLN
712655;100,45;PLN
716023;321,16;PLN
716085;506,16;PLN
716104;1015,04;PLN
716119;1269,55;PLN
728089;1780,65;PLN
732462;1251,30;PLN
732537;670,74;PLN
733270;628,84;PLN
733778;1130,28;PLN
736545;34,67;PLN
736546;11,57;PLN
736925;87,83;PLN
739372;1977,36;PLN
739834;228,23;PLN
742303;98,80;PLN
743628;1961,52;PLN
745168;800,65;PLN
745169;1074,08;PLN
745170;1087,69;PLN
745171;1074,08;PLN
747542;34,63;PLN
748689;76,25;PLN
749803;55,04;PLN
750862;1436,29;PLN
751934;243,70;PLN
751935;244,95;PLN
751936;243,70;PLN
751937;243,70;PLN
751938;243,70;PLN
751939;243,70;PLN
751940;243,70;PLN
751941;243,70;PLN
753584;123,98;PLN
755763;23,11;PLN
757443;86,35;PLN
757461;159,41;PLN
757468;246,93;PLN
757802;442,81;PLN
768705;736,86;PLN
768706;812,09;PLN
768707;1135,18;PLN
770362;3230,60;PLN
770363;5641,07;PLN
772156;230,54;PLN
774373;1556,65;PLN
774375;1556,65;PLN
774379;1556,65;PLN
774394;1110,19;PLN
774402;289,10;PLN
776970;284,24;PLN
776971;1682,66;PLN
777020;379,94;PLN
777438;952,48;PLN
778826;113,85;PLN
782563;691,41;PLN
782565;900,38;PLN
784847;3263,48;PLN
789241;4666,46;PLN
789243;6138,21;PLN
789359;3230,75;PLN
796303;112,07;PLN
796647;159,09;PLN
796675;118,60;PLN
802623;2059,45;PLN
802624;2784,55;PLN
804450;400,55;PLN
805964;22,50;PLN
807681;154,98;PLN
808043;230,36;PLN
808044;160,59;PLN
808045;875,28;PLN
809360;492,37;PLN
809368;870,59;PLN
809497;141,70;PLN
809928;89,93;PLN
810054;119,56;PLN
813359;76,81;PLN
813360;121,52;PLN
813476;81,20;PLN
818608;173,96;PLN
819407;370,88;PLN
819409;458,32;PLN
820509;623,50;PLN
820847;3841,61;PLN
