SAPNo;QBCena;QB;Waluta
67698;70,53;5;PLN
67698;69,43;10;PLN
168698;94,33;5;PLN
168698;92,86;10;PLN
218208;948,43;2;PLN
218209;1040,62;2;PLN
239226;53,94;2;PLN
278527;234,09;2;PLN
322892;495,55;2;PLN
372064;337,52;2;PLN
372065;351,26;2;PLN
407223;165,61;2;PLN
413892;151,89;5;PLN
413892;149,86;10;PLN
431271;1433,13;2;PLN
431323;992,79;2;PLN
431385;1225,00;2;PLN
438820;199,30;2;PLN
480877;450,31;2;PLN
503179;396,59;2;PLN
504505;616,95;2;PLN
504512;1252,35;2;PLN
577624;38,47;2;PLN
577633;38,59;2;PLN
577634;35,12;2;PLN
577637;38,59;2;PLN
584204;38,59;2;PLN
584205;35,12;2;PLN
584206;35,12;2;PLN
584207;38,59;2;PLN
584208;35,12;2;PLN
584209;35,12;2;PLN
612131;131,09;2;PLN
615370;892,97;2;PLN
615371;1697,31;2;PLN
615374;44,21;2;PLN
615425;1268,52;2;PLN
672406;24,31;2;PLN
677201;434,82;2;PLN
678738;787,02;2;PLN
678739;1433,13;2;PLN
702696;598,67;2;PLN
702742;440,52;2;PLN
703687;60,51;2;PLN
704314;1587,30;2;PLN
704315;1587,30;2;PLN
704316;1587,30;2;PLN
704317;1007,94;2;PLN
704318;898,91;2;PLN
712310;435,04;2;PLN
712655;99,09;2;PLN
733270;620,35;2;PLN
772156;227,42;2;PLN
782565;880,94;2;PLN
796647;156,23;5;PLN
796647;154,15;10;PLN
809360;481,74;2;PLN
809368;851,79;2;PLN
813359;75,61;2;PLN
813360;119,64;2;PLN
826362;440,48;2;PLN
826370;600,27;2;PLN
826430;534,51;2;PLN
826432;1471,64;2;PLN
826433;1586,28;2;PLN
837617;420,92;2;PLN
871328;366,98;2;PLN
881926;1930,66;2;PLN
881955;586,72;2;PLN
881956;965,43;2;PLN
881957;937,77;2;PLN
881958;965,43;2;PLN
881959;819,14;2;PLN
881960;1930,66;2;PLN
881961;1930,66;2;PLN
884763;253,91;2;PLN
884767;534,37;2;PLN
885105;63,94;2;PLN
904689;200,50;2;PLN
909998;38,87;2;PLN
913961;557,16;2;PLN
914002;1020,68;2;PLN
916364;94,33;5;PLN
916364;92,86;10;PLN
916874;43,37;5;PLN
916874;42,69;10;PLN
921569;1025,51;2;PLN
921632;1091,93;2;PLN
921633;1091,93;2;PLN
921634;1091,93;2;PLN
921635;822,09;2;PLN
924228;39,15;2;PLN
926815;549,01;2;PLN
926816;549,01;2;PLN
926817;549,01;2;PLN
926818;480,22;2;PLN
939751;293,82;2;PLN
988474;933,00;2;PLN
988655;586,00;2;PLN
991983;76,78;2;PLN
1010698;133,98;5;PLN
1010698;131,91;10;PLN
1019988;157,73;5;PLN
1019988;155,28;10;PLN
1019989;364,27;5;PLN
1019989;358,62;10;PLN
1063795;131,09;2;PLN
1063809;142,05;2;PLN
1064050;330,41;2;PLN
1064051;396,13;2;PLN
1064052;396,13;2;PLN
1064364;396,13;2;PLN
1064367;636,00;2;PLN
1064859;210,76;2;PLN
1081725;306,28;2;PLN
1081797;306,28;2;PLN
1089759;235,03;2;PLN
1089798;396,28;2;PLN
1089805;739,35;2;PLN
1089806;833,84;2;PLN
1091916;61,95;5;PLN
1091916;61,12;10;PLN
1106345;110,52;5;PLN
1106345;108,80;10;PLN
1111980;50,03;2;PLN
1111981;60,08;2;PLN
1111982;85,71;2;PLN
1111983;73,79;2;PLN
1112187;43,69;2;PLN
1112188;43,69;2;PLN
1112285;44,46;2;PLN
1112287;43,69;2;PLN
1112288;43,83;2;PLN
1112289;44,46;2;PLN
1112454;100,19;2;PLN
1112455;84,40;2;PLN
1112536;68,22;2;PLN
1112538;26,44;2;PLN
1144569;475,89;2;PLN
1144570;546,82;2;PLN
1144607;40,90;2;PLN
1144666;708,26;2;PLN
1144667;708,26;2;PLN
1144676;546,82;2;PLN
1144773;546,82;2;PLN
1144775;708,26;2;PLN
1144924;1560,64;2;PLN
1147304;706,71;2;PLN
1184259;463,62;2;PLN
1184260;259,17;2;PLN
1184261;276,07;2;PLN
1184262;276,07;2;PLN
1184308;492,53;2;PLN
1184309;258,10;2;PLN
1184315;276,07;2;PLN
1184316;447,56;2;PLN
1184318;715,04;2;PLN
1192117;1581,53;2;PLN
1193064;976,44;2;PLN
1194843;299,79;2;PLN
1194848;582,46;2;PLN
1194850;544,02;2;PLN
1235268;637,74;2;PLN
1235269;567,17;2;PLN
1235270;567,17;2;PLN
1235271;464,34;2;PLN
1235272;419,49;2;PLN
1235273;464,34;2;PLN
1235454;464,34;2;PLN
1235455;567,17;2;PLN
1235473;1096,58;2;PLN
1235474;1007,17;2;PLN
1235475;34,42;2;PLN
1235480;275,45;2;PLN
1244781;1436,16;2;PLN
1252006;316,68;5;PLN
1252006;311,76;10;PLN
1266467;1581,53;2;PLN
1270660;586,78;2;PLN
1270661;1394,87;2;PLN
1270662;965,48;2;PLN
1270663;1394,87;2;PLN
1270684;965,48;2;PLN
1270685;1791,66;2;PLN
1270686;819,14;2;PLN
1270687;1844,60;2;PLN
1270688;1791,66;2;PLN
1270690;1394,87;2;PLN
1270691;965,48;2;PLN
1270692;747,15;2;PLN
1271118;33,93;2;PLN
1271119;37,55;2;PLN
1271120;85,29;2;PLN
1271121;159,53;2;PLN
1271122;39,58;2;PLN
1271123;64,72;2;PLN
1271124;69,88;2;PLN
1271125;44,46;2;PLN
1271126;44,46;2;PLN
1271127;47,60;2;PLN
1295188;418,55;2;PLN
1295189;416,66;2;PLN
1295190;416,66;2;PLN
1295191;821,49;2;PLN
1295522;547,27;2;PLN
1295523;504,83;2;PLN
1295524;416,66;2;PLN
1295525;821,49;2;PLN
1295526;821,54;2;PLN
1295538;833,98;2;PLN
1295539;767,31;2;PLN
1295540;159,98;2;PLN
1296714;434,75;2;PLN
1296715;581,12;2;PLN
1296716;585,28;2;PLN
1296717;585,28;2;PLN
1315421;826,46;2;PLN
1316356;767,31;2;PLN
1322918;91,62;2;PLN
1325640;527,53;2;PLN
1343860;47,48;2;PLN
1343861;61,41;2;PLN
1355845;54,73;5;PLN
1355845;53,88;10;PLN
1373560;1465,53;2;PLN
1378763;47,01;2;PLN
1378844;42,80;2;PLN
1378845;42,80;2;PLN
1378846;42,80;2;PLN
1378847;42,80;2;PLN
1378848;46,20;2;PLN
1378849;42,80;2;PLN
1378850;42,80;2;PLN
1378851;42,80;2;PLN
1378852;47,01;2;PLN
1384993;1543,39;2;PLN
1385074;2021,87;2;PLN
1385075;2021,87;2;PLN
1385076;1248,53;2;PLN
1385078;158,84;2;PLN
1385083;756,35;2;PLN
1385084;598,45;2;PLN
1385085;756,35;2;PLN
1385086;756,35;2;PLN
1385088;1135,58;2;PLN
1385089;1135,58;2;PLN
1385090;1703,24;2;PLN
1385092;1703,24;2;PLN
1385093;1703,28;2;PLN
1385094;2021,87;2;PLN
1392968;1135,58;2;PLN
1392973;632,70;2;PLN
1398010;114,32;2;PLN
1400820;351,80;2;PLN
1426359;138,13;5;PLN
1426359;136,28;10;PLN
1426360;231,68;5;PLN
1426360;228,59;10;PLN
1426361;228,58;5;PLN
1426361;225,53;10;PLN
1442892;398,46;2;PLN
1445213;1546,79;2;PLN
1445224;1436,16;2;PLN
1447288;91,54;2;PLN
